Sentence #,Word,POS,Tag
,xahar,NOUN,O
,",",X-PUN,O
,b',PREP,O
,madwar,PREP,O
,sagħtejn,NOUN,O
,xogħol,NOUN,O
,fil-,PREP-DEF,O
,ġimgħa,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 5,B',PREP,O
,hekk,ADV,O
,",",X-PUN,O
,l-,DEF,O
,attivitajiet,NOUN,O
,huma,PRON-PERS,O
,magħmula,PART-PASS,O
,b',PREP,O
,mod,NOUN,O
,li,COMP,O
,jagħti,VERB,O
,kas,NOUN,O
,ta',GEN,O
,l-,DEF,O
,ammont,NOUN,O
,ta',GEN,O
,xogħol,NOUN,O
,regolari,ADJ,O
,u,CONJ-CORD,O
,l-,DEF,O
,pressjonijiet,NOUN,O
,li,COMP,O
,jeżistu,VERB,O
,fl-,PREP-DEF,O
,iskejjel,NOUN,O
,Maltin,ADJ,B-MISC
,.,X-PUN,O
,0,0,O
Sentence: 6,L-,DEF,O
,edizzjoni,NOUN,O
,ta',GEN,O
,l-,DEF,O
,2006,X-DIG,O
,/,X-PUN,O
,7,X-DIG,O
,ta',GEN,O
,l-,DEF,O
,Attivitajiet,NOUN,B-MISC
,Online,NOUN-PROP,I-MISC
,ta',GEN,O
,CMM,X-ABV,B-ORG
,iffukaw,VERB,O
,fuq,PREP,O
,is-,DEF,O
,suġġett,NOUN,O
,ta',GEN,O
,l-,DEF,O
,Ilma,NOUN,O
,",",X-PUN,O
,b',PREP,O
,enfasi,NOUN,O
,partikolari,ADJ,O
,fuq,PREP,O
,il-,DEF,O
,kisba,NOUN,O
,ta',GEN,O
,għarfien,NOUN,O
,dwar,PREP,O
,il-,DEF,O
,valur,NOUN,O
,ta',GEN,O
,l-,DEF,O
,ilma,NOUN,O
,u,CONJ-CORD,O
,l-,DEF,O
,impatt,NOUN,O
,li,COMP,O
,għandu,VERB-PSEU,O
,fuq,PREP,O
,il-,DEF,O
,mod,NOUN,O
,ta',GEN,O
,għajxien,NOUN,O
,fis-,PREP-DEF,O
,soċjetajiet,NOUN,O
,",",X-PUN,O
,kif,PRON-INT,O
,ukoll,FOC,O
,fuq,PREP,O
,ir-,DEF,O
,relazzjonijiet,NOUN,O
,fi,PREP,O
,ħdanhom,NOUN,O
,u,CONJ-CORD,O
,bejniethom,PREP-PRON,O
,.,X-PUN,O
,0,0,O
Sentence: 7,L-,DEF,O
,aċċess,NOUN,O
,għall-,PREP-DEF,O
,ilma,NOUN,O
,u,CONJ-CORD,O
,l-,DEF,O
,management,NOUN,O
,pożittiv,ADJ,O
,tiegħu,GEN-PRON,O
,jistgħu,VERB,O
,jagħtu,VERB,O
,kontribut,NOUN,O
,kbir,ADJ,O
,lill-,LIL-DEF,O
,iżvilupp,NOUN,O
,tal-,GEN-DEF,O
,bniedem,NOUN,O
,",",X-PUN,O
,filwaqt,CONJ-SUB,O
,li,COMP,O
,nuqqas,NOUN,O
,ta',GEN,O
,aċċess,NOUN,O
,minħabba,PREP,O
,fatturi,NOUN,O
,ambjentali,ADJ,O
,",",X-PUN,O
,soċjali,ADJ,O
,jew,CONJ-CORD,O
,politiċi,ADJ,O
,jistgħu,VERB,O
,jwasslu,VERB,O
,għall-,PREP-DEF,O
,faqar,NOUN,O
,",",X-PUN,O
,l-,DEF,O
,inġustizzja,NOUN,O
,u,CONJ-CORD,O
,l-,DEF,O
,kunflitt,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 8,Minbarra,PREP,O
,dan,PRON-DEM,O
,",",X-PUN,O
,is-,DEF,O
,suġġett,NOUN,O
,ta',GEN,O
,l-,DEF,O
,Ilma,NOUN,O
,kien,KIEN,O
,ukoll,FOC,O
,wieħed,NUM-WHD,O
,tajjeb,ADV,O
,ħafna,ADV,O
,biex,CONJ-SUB,O
,nagħmlu,VERB,O
,xebh,NOUN,O
,bejn,PREP,O
,ix-,DEF,O
,xena,NOUN,O
,Maltija,ADJ,B-MISC
,u,CONJ-CORD,O
,dik,PRON-DEM,O
,fin-,PREP-DEF,O
,Nofsinhar,NOUN,O
,tad-,GEN-DEF,O
,dinja,NOUN,O
,",",X-PUN,O
,speċjalment,ADV,O
,fejn,PRON-INT,O
,jidħlu,VERB,O
,l-,DEF,O
,problemi,NOUN,O
,tan-,GEN-DEF,O
,nuqqas,NOUN,O
,ta',GEN,O
,l-,DEF,O
,ilma,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 9,F',PREP,O
,Jannar,NOUN-PROP,O
,saru,VERB,O
,għadd,NOUN,O
,ta',GEN,O
,seminars,NOUN,O
,",",X-PUN,O
,kif,PRON-INT,O
,ukoll,FOC,O
,żjarat,NOUN,O
,lil,LIL,O
,skejjel,NOUN,O
,individwali,ADJ,O
,u,CONJ-CORD,O
,korsijiet,NOUN,O
,għall-,PREP-DEF,O
,għalliema,NOUN,O
,li,COMP,O
,saru,VERB,O
,online,ADJ,O
,fi,PREP,O
,Frar,NOUN-PROP,O
,2007,X-DIG,O
,.,X-PUN,O
,0,0,O
Sentence: 10,Waqt,PREP,O
,dawn,PRON-DEM,O
,il-,DEF,O
,korsijiet,NOUN,O
,",",X-PUN,O
,l-,DEF,O
,għalliema,NOUN,O
,ingħataw,VERB,O
,tagħrif,NOUN,O
,dwar,PREP,O
,kif,PRON-INT,O
,jaħdmu,VERB,O
,bis-,PREP-DEF,O
,sistema,NOUN,O
,interattiva,ADJ,O
,tal-,GEN-DEF,O
,proġett,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 11,Imbagħad,ADV,O
,",",X-PUN,O
,f',PREP,O
,Malta,NOUN-PROP,B-LOC
,",",X-PUN,O
,ipparteċipaw,VERB,O
,għaxar,NUM-CRD,O
,skejjel,NOUN,O
,primarji,ADJ,O
,u,CONJ-CORD,O
,sekondarji,ADJ,O
,fl-,PREP-DEF,O
,Attivitajiet,NOUN,B-MISC
,Online,NOUN-PROP,I-MISC
,dwar,PREP,O
,l-,DEF,O
,Ilma,NOUN,O
,",",X-PUN,O
,u,CONJ-CORD,O
,ġew,VERB,O
,f',PREP,O
,kuntatt,NOUN,O
,ma',PREP,O
,madwar,PREP,O
,għaxart,NUM-CRD,O
,elef,NOUN,O
,student,NOUN,O
,madwar,PREP,O
,id-,DEF,O
,dinja,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 12,Fejn,PRON-INT,O
,tidħol,VERB,O
,it-,DEF,O
,tmexxija,NOUN,O
,",",X-PUN,O
,l-,DEF,O
,attivitajiet,NOUN,O
,kienu,KIEN,O
,esperjenza,NOUN,O
,pożittiva,ADJ,O
,għall-,PREP-DEF,O
,aħħar,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 13,Kemm,PRON-INT,O
,is-,DEF,O
,suġġett,NOUN,O
,",",X-PUN,O
,kif,PRON-INT,O
,ukoll,FOC,O
,il-,DEF,O
,metodu,NOUN,O
,ta',GEN,O
,kif,PRON-INT,O
,tmexxew,VERB,O
,l-,DEF,O
,attivitajiet,NOUN,O
,",",X-PUN,O
,għenu,VERB,O
,biex,CONJ-SUB,O
,jiġu,VERB,O
,mgħallma,PART-PASS,O
,valuri,NOUN,O
,relevanti,ADJ,O
,għall-,PREP-DEF,O
,GCE,X-ABV,B-MISC
,–,X-PUN,O
,il-,DEF,O
,komunikazzjoni,NOUN,O
,miftuħa,PART-PASS,O
,",",X-PUN,O
,id-,DEF,O
,demokrazija,NOUN,O
,ġewwa,PREP,O
,l-,DEF,O
,klassi,NOUN,O
,",",X-PUN,O
,it-,DEF,O
,tagħlim,NOUN,O
,ta',GEN,O
,valuri,NOUN,O
,ċentrali,ADJ,O
,bħad-,ADV,O
,drittijiet,NOUN,O
,tal-,GEN-DEF,O
,bniedem,NOUN,O
,",",X-PUN,O
,u,CONJ-CORD,O
,perspettiva,NOUN,O
,soċjali,ADJ,O
,u,CONJ-CORD,O
,ġusta,ADJ,O
,fuq,PREP,O
,il-,DEF,O
,globalizzazzjoni,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 14,Kemm,PRON-INT,O
,l-,DEF,O
,għalliema,NOUN,O
,kif,PRON-INT,O
,ukoll,FOC,O
,l-,DEF,O
,istudenti,NOUN,O
,urew,VERB,O
,interess,NOUN,O
,kbir,ADJ,O
,fis-,PREP-DEF,O
,suġġett,NOUN,O
,ta',GEN,O
,l-,DEF,O
,Ilma,NOUN,O
,;,X-PUN,O
,għalhekk,ADV,O
,",",X-PUN,O
,urew,VERB,O
,entużjażmu,NOUN,O
,",",X-PUN,O
,kurżità,NOUN,O
,u,CONJ-CORD,O
,responsabbiltà,NOUN,O
,f',PREP,O
,xogħolhom,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 15,L-,DEF,O
,għalliema,NOUN,O
,kkonfermaw,VERB,O
,li,COMP,O
,t-,DEF,O
,taħriġ,NOUN,O
,introduttorju,ADJ,O
,",",X-PUN,O
,l-,DEF,O
,informazzjoni,NOUN,O
,",",X-PUN,O
,il-,DEF,O
,materjal,NOUN,O
,promozzjonali,ADJ,O
,u,CONJ-CORD,O
,r-,DEF,O
,riżorsi,NOUN,O
,għat-,PREP-DEF,O
,tagħlim,NOUN,O
,li,COMP,O
,pprovda,VERB,O
,l-,DEF,O
,management,NOUN,O
,għenuhom,VERB,O
,biex,CONJ-SUB,O
,jagħmlu,VERB,O
,l-,DEF,O
,attivitajiet,NOUN,O
,",",X-PUN,O
,minkejja,PREP,O
,li,COMP,O
,l-,DEF,O
,ħin,NOUN,O
,tagħhom,GEN-PRON,O
,għal,PREP,O
,attivitajiet,NOUN,O
,extra,ADJ,O
,-,X-PUN,O
,kurrikulari,ADJ,O
,kien,KIEN,O
,limitat,PART-PASS,O
,ħafna,ADV,O
,.,X-PUN,O
,0,0,O
Sentence: 16,Minħabba,PREP,O
,li,COMP,O
,l-,DEF,O
,Ilma,NOUN,O
,huwa,PRON-PERS,O
,suġġett,NOUN,O
,vast,NOUN,O
,li,COMP,O
,għandu,VERB-PSEU,O
,x',PRON-INT,O
,jaqsam,VERB,O
,ma',PREP,O
,diversi,ADJ,O
,aspetti,NOUN,O
,ambjentali,ADJ,O
,",",X-PUN,O
,soċjali,ADJ,O
,u,CONJ-CORD,O
,politiċi,ADJ,O
,",",X-PUN,O
,it-,DEF,O
,tfal,NOUN,O
,",",X-PUN,O
,li,COMP,O
,kellhom,VERB-PSEU,O
,bejn,PREP,O
,sitta,NUM-CRD,O
,u,CONJ-CORD,O
,sbatax,VERB,O
,#NAME?,X-ENG,O
,sena,NOUN,O
,",",X-PUN,O
,setgħu,VERB,O
,jaħdmu,VERB,O
,f',PREP,O
,attivitajiet,NOUN,O
,li,COMP,O
,kienu,KIEN,O
,adattati,PART-PASS,O
,għalihom,PREP-PRON,O
,",",X-PUN,O
,iżda,CONJ-CORD,O
,li,COMP,O
,xorta,NOUN,O
,introduċewhom,VERB,O
,għas-,PREP-DEF,O
,suġġet,NOUN,O
,b',PREP,O
,mod,NOUN,O
,li,COMP,O
,setgħu,VERB,O
,jagħrfu,VERB,O
,r-,DEF,O
,relevanza,NOUN,O
,tiegħu,GEN-PRON,O
,kemm,PRON-INT,O
,għalihom,PREP-PRON,O
,bħala,PREP,O
,individwi,NOUN,O
,kif,PRON-INT,O
,ukoll,FOC,O
,għal,PREP,O
,nies,NOUN,O
,li,COMP,O
,jinsabu,VERB,O
,in-,DEF,O
,naħa,NOUN,O
,l-,DEF,O
,oħra,ADJ,O
,tad-,GEN-DEF,O
,dinja,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 17,L-,DEF,O
,esperjenza,NOUN,O
,tagħna,GEN-PRON,O
,f',PREP,O
,Conectando,NOUN-PROP,B-ORG
,Mundos,NOUN-PROP,I-ORG
,–,X-PUN,O
,L-,DEF,O
,istudenti,NOUN,O
,u,CONJ-CORD,O
,l-,DEF,O
,għalliema,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 18,Kunflitti,NOUN,O
,",",X-PUN,O
,riżorsi,NOUN,O
,",",X-PUN,O
,deċiżjonijiet,NOUN,O
,",",X-PUN,O
,ġustizzja,NOUN,O
,soċjali,ADJ,O
,",",X-PUN,O
,…,X-PUN,O
,ingredjenti,ADJ,O
,importanti,ADJ,O
,li,COMP,O
,sawru,VERB,O
,l-,DEF,O
,proġett,NOUN,O
,elettroniku,ADJ,O
,Conectando,X-FOR,B-ORG
,Mundos,X-FOR,I-ORG
,.,X-PUN,O
,0,0,O
Sentence: 19,Kif,PRON-INT,O
,jixhed,VERB,O
,l-,DEF,O
,istess,ADJ,O
,isem,NOUN,O
,ta',GEN,O
,dan,PRON-DEM,O
,il-,DEF,O
,proġett,NOUN,O
,",",X-PUN,O
,il-,DEF,O
,qafas,NOUN,O
,prinċipali,ADJ,O
,kien,KIEN,O
,l-,DEF,O
,invit,NOUN,O
,ta',GEN,O
,komunikazzjoni,NOUN,O
,lill-,LIL-DEF,O
,istudenti,NOUN,O
,minn,PREP,O
,pajjizi,NOUN,O
,madwar,PREP,O
,id-,DEF,O
,dinja,NOUN,O
,biex,CONJ-SUB,O
,jimplementaw,VERB,O
,fil-,PREP-DEF,O
,prattika,NOUN,O
,dik,PRON-DEM,O
,hekk,ADV,O
,imsejħa,PART-PASS,O
,ċittadinanza,NOUN,O
,globali,ADJ,O
,.,X-PUN,O
,0,0,O
Sentence: 20,Franz,NOUN-PROP,B-PER
,Peter,NOUN-PROP,I-PER
,Schubert,NOUN-PROP,I-PER
,(,X-PUN,O
,twieled,VERB,O
,31,X-DIG,O
,ta',GEN,O
,Jannar,NOUN-PROP,O
,1797,X-DIG,O
,–,X-PUN,O
,miet,VERB,O
,19,X-DIG,O
,ta',GEN,O
,Novembru,NOUN-PROP,O
,1828,X-DIG,O
,),X-PUN,O
,kien,KIEN,O
,kompożitur,NOUN,O
,Awstrijak,NOUN-PROP,B-MISC
,.,X-PUN,O
,0,0,O
Sentence: 21,Għalkemm,CONJ-SUB,O
,miet,VERB,O
,ta',GEN,O
,31,X-DIG,O
,sena,NOUN,O
,",",X-PUN,O
,Schubert,NOUN-PROP,B-PER
,kien,KIEN,O
,wieħed,NUM-WHD,O
,mill-,PREP-DEF,O
,kompożituri,NOUN,O
,kbar,ADJ,O
,tas-,GEN-DEF,O
,seklu,NOUN,O
,XIX,X-ABV,O
,u,CONJ-CORD,O
,l-,DEF,O
,ikbar,ADJ,O
,kompożitur,NOUN,O
,tal-,GEN-DEF,O
,lied,NOUN,O
,fl-,PREP-DEF,O
,ilsien,NOUN,O
,Ġermaniż,ADJ,B-MISC
,.,X-PUN,O
,0,0,O
Sentence: 22,Franz,NOUN-PROP,B-PER
,Peter,NOUN-PROP,I-PER
,Schubert,NOUN-PROP,I-PER
,twieled,VERB,O
,Lichtenthal,NOUN-PROP,B-LOC
,",",X-PUN,O
,ħdejn,PREP,O
,Vjenna,NOUN-PROP,B-LOC
,.,X-PUN,O
,0,0,O
Sentence: 23,Kien,KIEN,O
,it-,DEF,O
,tnax,VERB,O
,il-,DEF,O
,wieħed,NUM-WHD,O
,f',PREP,O
,familja,NOUN,O
,ta',GEN,O
,14,X-DIG,O
,ulied,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 24,Missieru,NOUN,O
,",",X-PUN,O
,Franz,NOUN-PROP,B-PER
,Theodor,X-ENG,I-PER
,",",X-PUN,O
,li,COMP,O
,kien,KIEN,O
,għalliem,NOUN,O
,",",X-PUN,O
,tah,VERB,O
,l-,DEF,O
,ewwel,NUM-ORD,O
,lezzjonijiet,NOUN,O
,ta',GEN,O
,l-,DEF,O
,alto,NOUN,O
,",",X-PUN,O
,waqt,PREP,O
,li,COMP,O
,ħuh,NOUN,O
,Ignaz,NOUN-PROP,B-PER
,għallmu,VERB,O
,l-,DEF,O
,pjanu,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 25,Mill-,PREP-DEF,O
,1808,X-DIG,O
,sa',VERB,O
,l-,DEF,O
,1813,X-DIG,O
,",",X-PUN,O
,kien,KIEN,O
,kantant,NOUN,O
,fil-,PREP-DEF,O
,kor,NOUN,O
,tal-,GEN-DEF,O
,kappella,NOUN,O
,imperjali,ADJ,O
,ta',GEN,O
,Vjenna,NOUN-PROP,B-LOC
,u,CONJ-CORD,O
,studja,VERB,O
,Konvikt,NOUN,B-MISC
,(,X-PUN,O
,skola,NOUN,O
,għall-,PREP-DEF,O
,kantanti,NOUN,O
,tal-,GEN-DEF,O
,kappella,NOUN,O
,tal-,GEN-DEF,O
,Qorti,NOUN,B-ORG
,Rjali,ADJ,I-ORG
,),X-PUN,O
,u,CONJ-CORD,O
,hekk,ADV,O
,kien,KIEN,O
,student,NOUN,O
,ta',GEN,O
,Antonio,NOUN-PROP,B-PER
,Salieri,NOUN-PROP,I-PER
,",",X-PUN,O
,direttur,NOUN,O
,tal-,GEN-DEF,O
,mużika,NOUN,O
,tal-,GEN-DEF,O
,Qorti,NOUN,B-ORG
,.,X-PUN,O
,0,0,O
Sentence: 26,Matul,PREP,O
,dan,PRON-DEM,O
,il-,DEF,O
,perijodu,NOUN,O
,ta',GEN,O
,formazzjoni,NOUN,O
,",",X-PUN,O
,beda,VERB,O
,jikkomponi,VERB,O
,minkejja,PREP,O
,l-,DEF,O
,problemi,NOUN,O
,fil-,PREP-DEF,O
,familja,NOUN,O
,;,X-PUN,O
,missieru,NOUN,O
,ma,NEG,O
,kienx,KIEN,O
,iħallieh,VERB,O
,immur,VERB,O
,id-,DEF,O
,dar,NOUN,O
,għax,CONJ-SUB,O
,ommu,NOUN,O
,kienet,KIEN,O
,qegħda,NOUN,O
,tmut,VERB,O
,(,X-PUN,O
,1811,X-DIG,O
,-,X-PUN,O
,1813,X-DIG,O
,),X-PUN,O
,.,X-PUN,O
,0,0,O
Sentence: 27,Schubert,NOUN-PROP,B-PER
,beda,VERB,O
,jikteb,VERB,O
,l-,DEF,O
,ewwel,NUM-ORD,O
,għall-,PREP-DEF,O
,pjanu,NOUN,O
,(,X-PUN,O
,mill-,PREP-DEF,O
,1810,X-DIG,O
,),X-PUN,O
,",",X-PUN,O
,imbagħad,ADV,O
,mhux,PRON-PERS-NEG,O
,inqas,ADJ,O
,minn,PREP,O
,tmien,NUM-CRD,O
,kwartetti,NOUN,O
,għall-,PREP-DEF,O
,kordi,NOUN,O
,",",X-PUN,O
,xi,QUAN,O
,ouvertures,NOUN,O
,u,CONJ-CORD,O
,xi,QUAN,O
,lieder,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 28,Fl-,PREP-DEF,O
,1812,X-DIG,O
,",",X-PUN,O
,sar,VERB,O
,l-,DEF,O
,istudent,NOUN,O
,ta',GEN,O
,Salieri,NOUN-PROP,B-PER
,",",X-PUN,O
,li,COMP,O
,baqa',VERB,O
,jirrispetta,VERB,O
,għal,PREP,O
,ħajtu,NOUN,O
,kollha,QUAN,O
,.,X-PUN,O
,0,0,O
Sentence: 29,Reġa',VERB,O
,lura,ADV,O
,fl-,PREP-DEF,O
,1824,X-DIG,O
,.,X-PUN,O
,0,0,O
Sentence: 30,Ħlief,VERB,O
,daż-,PRON-DEM-DEF,O
,żmien,NOUN,O
,l-,DEF,O
,Ungerija,NOUN,B-LOC
,u,CONJ-CORD,O
,xi,QUAN,O
,vjaġġi,NOUN,O
,fl-,PREP-DEF,O
,Awstrija,NOUN-PROP,B-LOC
,stess,PRON-REF,O
,fosthom,PREP-PRON,O
,għal,PREP,O
,Graz,NOUN-PROP,B-LOC
,",",X-PUN,O
,Linz,NOUN-PROP,B-LOC
,",",X-PUN,O
,Steyer,NOUN-PROP,B-LOC
,",",X-PUN,O
,Gmünden,NOUN-PROP,B-LOC
,u,CONJ-CORD,O
,Salzbourg,NOUN-PROP,B-LOC
,",",X-PUN,O
,Schubert,NOUN-PROP,B-PER
,għadda,VERB,O
,l-,DEF,O
,ħajja,NOUN,O
,qasira,ADJ,O
,tiegħu,GEN-PRON,O
,Vjenna,NOUN-PROP,B-LOC
,u,CONJ-CORD,O
,meta,CONJ-SUB,O
,telaq,VERB,O
,il-,DEF,O
,professjoni,NOUN,O
,tiegħu,GEN-PRON,O
,ta',GEN,O
,għalliem,NOUN,O
,u,CONJ-CORD,O
,ta',GEN,O
,assistent,NOUN,O
,ta',GEN,O
,missieru,NOUN,O
,",",X-PUN,O
,kien,KIEN,O
,joqgħod,VERB,O
,kważi,ADV,O
,il-,DEF,O
,ħin,NOUN,O
,kollu,QUAN,O
,għand,PREP,O
,il-,DEF,O
,ħbieb,NOUN,O
,u,CONJ-CORD,O
,ddedika,VERB,O
,ħajtu,NOUN,O
,sħieħa,ADJ,O
,għall-,PREP-DEF,O
,kompożizzjoni,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 31,Kien,KIEN,O
,jorganizza,VERB,O
,laqgħat,NOUN,O
,mużikali,ADJ,O
,bejn,PREP,O
,il-,DEF,O
,ħbieb,NOUN,O
,‚,NOUN,O
,li,COMP,O
,kienu,KIEN,O
,mlaqqma,PART-PASS,O
,schubertiade,ADJ,O
,fejn,PRON-INT,O
,il-,DEF,O
,lieder,NOUN,O
,kellhom,VERB-PSEU,O
,l-,DEF,O
,ewwel,NUM-ORD,O
,suċċess,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 32,Fl-,PREP-DEF,O
,1822,X-DIG,O
,-,X-PUN,O
,23,X-DIG,O
,",",X-PUN,O
,Schubert,NOUN-PROP,B-PER
,qabditu,VERB,O
,s-,DEF,O
,sifilide,NOUN,O
,",",X-PUN,O
,u,CONJ-CORD,O
,saħħtu,NOUN,O
,baqgħet,VERB,O
,sejra,PART-ACT,O
,lura,ADV,O
,.,X-PUN,O
,0,0,O
Sentence: 33,Mill-,PREP-DEF,O
,mard,NOUN,O
,tiegħu,GEN-PRON,O
,ħareġ,VERB,O
,mużika,NOUN,O
,iżjed,ADJ,O
,profonda,NOUN,O
,u,CONJ-CORD,O
,emoventi,ADJ,O
,",",X-PUN,O
,iżjed,ADV,O
,qrib,PREP,O
,it-,DEF,O
,tbatija,NOUN,O
,u,CONJ-CORD,O
,l-,DEF,O
,mewt,NOUN,O
,li,COMP,O
,kienu,KIEN,O
,jehdduh,VERB,O
,(,X-PUN,O
,Il-,DEF,O
,Mewt,NOUN-PROP,B-MISC
,u,CONJ-CORD,I-MISC
,t-,DEF,I-MISC
,Tfajla,NOUN,I-MISC
,",",X-PUN,I-MISC
,Vjaġġ,NOUN-PROP,I-MISC
,Xitwi,NOUN-PROP,I-MISC
,),X-PUN,O
,.,X-PUN,O
,0,0,O
Sentence: 34,Franz,NOUN-PROP,B-PER
,Schubert,NOUN-PROP,I-PER
,miet,VERB,O
,bit-,PREP-DEF,O
,tifu,VERB,O
,fid-,PREP-DEF,O
,19,X-DIG,O
,ta',GEN,O
,Novembru,NOUN-PROP,O
,1828,X-DIG,O
,",",X-PUN,O
,sena,NOUN,O
,u,CONJ-CORD,O
,nofs,NUM-FRC,O
,wara,PREP,O
,Beethoven,NOUN-PROP,B-PER
,li,COMP,O
,kellu,VERB-PSEU,O
,għalih,PREP-PRON,O
,",",X-PUN,O
,matul,PREP,O
,ħajtu,NOUN,O
,kollha,QUAN,O
,",",X-PUN,O
,rispett,NOUN,O
,u,CONJ-CORD,O
,ammirazzjoni,NOUN,O
,bla,PREP,O
,-,X-PUN,O
,tmiem,NOUN,O
,.,X-PUN,O
,0,0,O
Sentence: 35,Fil-,PREP-DEF,O
,ħajja,NOUN,O
,qasira,ADJ,O
,tiegħu,GEN-PRON,O
,",",X-PUN,O
,Franz,NOUN-PROP,B-PER
,Schubert,NOUN-PROP,I-PER
,kien,KIEN,O
,dejjem,ADV,O
,nieqes,PART-ACT,O
,mill-,PREP-DEF,O
,flus,NOUN,O
,",",X-PUN,O
,imma,CONJ-CORD,O
,dan,PRON-DEM,O
,qatt,ADV,O
,ma,NEG,O
,kien,KIEN,O
,jinkwietah,VERB,O
,",",X-PUN,O
,sakemm,CONJ-SUB,O
,ħbiebu,NOUN,O
,kienu,KIEN,O
,lesti,ADJ,O
,biex,CONJ-SUB,O
,jgħinuh,VERB,O
,",",X-PUN,O
,kif,PRON-INT,O
,kien,KIEN,O
