id,tokens,ner_tags
 10,"['Antwerpen', '/', 'Brussel']","[3, 0, 3]"
 11,"['Plaatselijk', 'wordt', 'vermoed', 'dat', 'Floralux', 'de', 'kiescampagnes', 'van', 'Luc', 'Martens', 'financierde', ',', 'die', 'binnen', 'de', 'vorige', 'regering', 'nog', '""', 'aandacht', '""', 'vroeg', 'voor', 'de', 'zaak', '.']","[0, 0, 0, 0, 5, 0, 0, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 12,"['Het', 'Leven']","[6, 7]"
 13,"['Vandenbussche', 'zelf', 'besloot', 'dat', 'het', 'hof', '""', 'de', 'politieke', 'zeden', 'uit', 'het', 'verleden', '""', 'heeft', 'willen', 'veroordelen', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 14,"['Het', 'Hof', 'van', 'Cassatie', 'verbrak', 'het', 'arrest', 'zodat', 'het', 'moest', 'worden', 'overgedaan', 'door', 'het', 'hof', 'van', 'beroep', 'van', 'Antwerpen', '.']","[0, 5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
 15,"['Dat', 'is', 'het', 'wezen', 'van', 'het', 'arrest', 'dat', 'het', 'Antwerpse', 'hof', 'van', 'beroep', 'woensdag', 'geveld', 'heeft', 'in', 'de', 'zaak', 'van', 'het', 'omstreden', 'tuincentrum', 'Floralux', 'uit', 'Moorslede-Dadizele', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0]"
 16,"['Zaakvoerster', 'Christiane', 'Vandenbussche', 'wordt', 'schuldig', 'bevonden', 'aan', 'belangenvermenging', '(', ""'"", 'belangenneming', ""'"", 'in', 'juridische', 'taal', ')', 'maar', 'krijgt', 'geen', 'straf', 'omdat', 'een', 'straf', 'na', 'al', 'die', 'jaren', 'niet', 'meer', 'zinvol', 'zou', 'zijn', '.']","[0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 17,"['Het', 'is', 'alvast', 'de', 'interpretatie', 'die', 'in', 'de', 'omgeving', 'van', 'Floralux', 'gegeven', 'wordt', 'aan', 'het', 'arrest', '(', 'zie', 'pagina', '1', ')', ':', 'dat', 'er', 'een', ""'"", 'nieuwe', 'politieke', 'cultuur', ""'"", 'is', 'aangebroken', 'en', 'de', 'oude', 'politieke', 'zeden', 'weliswaar', 'verwerpelijk', 'waren', 'maar', 'nu', 'niet', 'meer', 'hoeven', 'te', 'worden', 'beboet', 'met', ',', 'in', 'casu', ',', 'de', 'sluiting', 'van', 'een', 'zaak', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 18,"['Wat', 'jaren', 'meeging', 'als', 'een', 'omstreden', ""'"", 'CVP-dossier', ""'"", 'krijgt', 'nu', 'door', 'de', 'rechterlijke', 'uitspraak', 'het', 'cachet', 'van', 'een', 'oude', 'koe', 'in', 'de', 'gracht', '.']","[0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 19,"['Om', 'te', 'kunnen', 'voortbestaan', 'wil', 'Floralux', 'dat', 'de', 'landbouwgrond', 'wordt', 'omgezet', 'in', 'kmo-zone', '.']","[0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
 20,"[""'"", 'Hof', 'veroordeelde', 'politieke', 'zeden', 'van', 'toen', ""'""]","[0, 5, 0, 0, 0, 0, 0, 0]"
 21,"['De', 'advocaat', 'schrijft', 'dat', '""', '(', '...', ')', 'het', 'dan', 'duidelijk', 'is', 'dat', 'het', '(', 'BPA', ',', 'sd', ')', 'enkel', 'voor', 'private', 'doeleinden', ',', 'namelijk', 'voor', 'uw', 'firma', ',', 'werd', 'gerealiseerd', 'en', 'het', 'schepencollege', 'als', 'gangmaker', 'daarvoor', 'fungeert', '""', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 22,"['Niettemin', 'hield', 'ze', 'tegenover', 'de', 'VRT-radio', 'vol', 'dat', 'ze', '""', 'niets', 'misdaan', '""', 'heeft', '.']","[0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 23,"['Verder', 'blijkt', 'dat', 'er', 'overleg', 'over', 'plaatsvond', 'met', 'de', 'liberale', 'partij', '(', 'toen', 'nog', 'PVV', ')', 'èn', 'met', 'de', 'SP', ':', '""', 'Waltniel', '(', 'PVV', ',', 'sd', ')', 'is', 'voor', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 0, 2, 0, 5, 0, 0, 0, 0, 0, 0]"
 24,"['En', 'Delcroix', 'besloot', ':', '""', 'Zal', 'erdoor', 'komen', '.']","[0, 2, 0, 0, 0, 0, 0, 0, 0]"
 25,"['Floralux', 'verkrijgt', 'een', 'vergunning', 'om', 'een', 'plantenkwekerij', 'op', 'te', 'trekken', '.']","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 26,"['Het', 'Antwerpse', 'hof', 'weerde', 'het', 'document', 'als', 'bewijsmateriaal', 'maar', 'las', 'het', 'wel', 'voor', 'tijdens', 'de', 'zitting', '.']","[0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 27,"['Wat', 'die', 'politieke', 'zeden', 'waren', ',', 'valt', 'af', 'te', 'leiden', 'uit', 'de', 'Atoma-schriftjes', 'die', 'Leo', 'Delcroix', 'bijhield', 'toen', 'hij', 'nog', 'CVP-secretaris', 'was', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 4, 0, 0, 0, 0, 6, 0, 0]"
 28,"['Sybille', 'Decoo']","[2, 4]"
 29,"['Zaakvoerster', 'Floralux', 'houdt', 'vol', 'dat', 'ze', 'niets', 'misdaan', 'heeft']","[0, 5, 0, 0, 0, 0, 0, 0, 0]"
 30,"['Over', 'Floralux', 'stond', 'er', ':', '""', 'Ze', 'willen', 'regularisering', '.']","[0, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
 31,"['-DOCSTART-', 'Verberckmoes', 'is', 'een', 'gewezen', 'katholieke', 'dissident', 'die', 'bij', 'de', 'stichting', 'van', 'de', 'PVV', 'als', 'verruimingskandidaat', 'de', 'liberale', 'rangen', 'vervoegde', 'en', 'het', 'bijna', 'onmiddellijk', 'bracht', 'tot', 'volksvertegenwoordiger', '.']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 32,"['De', 'liberale', 'minister', 'van', 'Justitie', 'Marc', 'Verwilghen', 'is', 'geen', 'kandidaat', 'op', 'de', 'lokale', 'VLD-lijst', 'bij', 'de', 'komende', 'gemeenteraadsverkiezingen', 'in', 'Dendermonde', '.']","[0, 0, 0, 0, 5, 2, 4, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 0]"
 33,"['Een', 'gemeenteraadslid', 'van', 'Inzet', ':', '""', 'De', 'bedoeling', 'was', 'dat', 'wij', 'als', 'een', 'groep', 'een', 'kartellijst', 'zouden', 'vormen', 'die', 'dan', 'aan', 'de', 'kiezer', 'een', 'nieuw', 'mandaat', 'zou', 'vragen', '.']","[0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 34,"['Rudy', 'De', 'Brandt', 'geeft', 'toe', 'dat', 'er', 'mogelijk', 'ook', 'andere', 'motieven', 'een', 'grote', 'rol', 'hebben', 'gespeeld', '.']","[2, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 35,"['Willy', 'Van', 'Damme']","[2, 4, 4]"
 36,"['Binnen', 'de', 'VLD', 'in', 'Dendermonde', 'heerst', 'er', 'grote', 'verslagenheid', '.']","[0, 0, 5, 0, 3, 0, 0, 0, 0, 0]"
 37,"['Het', 'voorstel', 'was', 'naar', 'verluidt', 'vrij', 'spontaan', 'gegroeid', 'binnen', 'de', 'door', 'burgemeester', 'Norbert', 'De', 'Batselier', '(', 'SP', ')', 'geleide', 'meerderheid', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 4, 0, 5, 0, 0, 0, 0]"
 38,"['De', 'Morgen']","[5, 1]"
 39,"['Volgens', 'de', 'plaatselijke', 'VLD-voorzitter', 'Rudy', 'De', 'Brandt', 'is', 'zijn', 'beslissing', 'onherroepelijk', '.']","[0, 0, 0, 6, 2, 4, 4, 0, 0, 0, 0, 0]"
 40,"['Hij', 'is', 'tegen', 'het', 'cumuleren', 'van', 'mandaten', '""', ',', 'zegt', 'De', 'Brandt', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0]"
 41,"['Zo', 'was', 'er', 'het', 'voorstel', 'voor', 'een', 'gezamenlijke', 'lijst', 'met', 'Inzet', ',', 'waarmee', 'de', 'VLD', 'in', 'Dendermonde', 'de', 'meerderheid', 'vormt', 'en', 'die', 'bestaat', 'uit', ""SP'ers"", ',', ""VU'ers"", 'en', 'enkele', 'onafhankelijken', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5, 0, 3, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 0, 0, 0]"
 42,"['Marc', 'Verwilghen', 'geen', 'kandidaat', 'in', 'Dendermonde']","[2, 4, 0, 0, 0, 3]"
 43,"['Voor', 'hen', 'is', 'Marc', 'Verwilghen', 'de', 'toekomst', 'voor', 'de', 'VLD', 'en', 'Frans', 'Verberckmoes', 'de', 'door', 'hen', 'verfoeide', 'oude', 'politieke', 'cultuur', '.']","[0, 0, 0, 2, 4, 0, 0, 0, 0, 5, 0, 2, 4, 0, 0, 0, 0, 0, 0, 0, 0]"
 44,"['Willy', 'Van', 'Damme']","[2, 4, 4]"
 45,"['Verwilghen', 'kan', 'plaatselijke', 'VLD', 'niet', 'overtuigen', 'kartel', 'te', 'vormen', 'met', 'Inzet-lijst', 'van', 'De', 'Batselier']","[2, 0, 0, 5, 0, 0, 0, 0, 0, 0, 6, 0, 2, 4]"
 46,"['""', 'Dit', 'is', 'de', 'PVV', 'van', 'vroeger', 'of', 'nog', 'erger', '""', ',', 'aldus', 'een', ""VLD'er"", 'uit', 'de', 'omgeving', 'van', 'Verwilghen', '.']","[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 0]"
 47,"['Voor', 'de', 'VLD', ',', 'die', 'nu', 'in', 'de', 'gemeenteraad', 'nog', 'amper', 'vier', 'zetels', 'heeft', ',', 'dreigt', 'dan', 'ook', 'een', 'debacle', '.']","[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 48,"['Die', 'officiële', 'reden', 'gaf', 'Verwilghen', 'gisterenavond', 'zelf', 'ook', 'in', 'een', 'persmededeling', '.']","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
 49,['Dendermonde'],[3]
 50,"['Het', 'had', 'volgens', 'verscheidene', 'bronnen', 'ook', 'de', 'steun', 'van', 'de', 'top', 'van', 'de', 'nationale', 'VLD', 'en', 'werd', 'binnen', 'de', 'Dendermondse', 'VLD', 'vooral', 'gedragen', 'door', 'Marc', 'Verwilghen', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 6, 5, 0, 0, 0, 2, 4, 0]"
 51,"['Nu', 'zal', 'het', 'lijsttrekkerschap', 'gaan', 'tussen', 'Hilde', 'Dierickx', 'en', 'schepen', 'voor', 'Financiën', 'Marcel', 'Borms', '.']","[0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 5, 2, 4, 0]"
 52,"['Het', 'Leven']","[6, 7]"
 53,"['Die', 'verliet', 'een', 'aantal', 'jaren', 'geleden', 'wel', 'de', 'actieve', 'politiek', ',', 'maar', 'blijft', 'een', 'invloedrijk', 'figuur', 'binnen', 'de', 'plaatselijke', 'liberale', 'partij', ',', 'onder', 'meer', 'via', 'zijn', 'zoon', 'Kristian', 'Verberckmoes', ',', 'die', 'gemeenteraadslid', 'is', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 0, 0]"
 54,"['Sommige', 'liberalen', 'hebben', 'nu', 'al', 'stappen', 'richting', 'Inzet', 'gezet', 'of', 'zijn', 'dat', 'van', 'plan', '.']","[0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0]"
 55,"['Dat', '(', 'volgens', 'kringen', 'binnen', 'en', 'buiten', 'de', 'VLD', ')', 'vooral', 'op', 'initiatief', 'van', 'Frans', 'Verberckmoes', ',', 'oud-VLD-volksvertegenwoordiger', 'voor', 'Dendermonde', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 4, 0, 6, 0, 3, 0]"
 56,"['Robert', 'Verwilghen', ',', 'vader', 'van', 'Marc', ',', 'greep', 'daarbij', 'naast', 'een', 'zetel', '.']","[2, 4, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]"
 57,"['Hierbij', 'speelt', 'volgens', 'insiders', 'de', 'oude', 'ruzie', 'tussen', 'Marc', 'Verwilghen', 'en', 'zijn', 'voorganger', 'Frans', 'Verberckmoes', 'een', 'grote', 'rol', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0, 2, 4, 0, 0, 0, 0]"
 58,"['Rudy', 'De', 'Brandt', ':', '""', 'Een', 'aantal', 'mensen', 'hadden', 'zich', 'inderdaad', 'nog', 'geen', 'kandidaat', 'gesteld', 'voor', 'de', 'gemeenteraadsverkiezingen', 'in', 'afwachting', 'van', 'wat', 'Marc', 'Verwilghen', 'ging', 'doen', '.']","[2, 4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 0, 0, 0]"
 59,"['God', 'zij', 'dank', '.']","[2, 0, 0, 0]"
 60,"['Cathy', 'Galle']","[2, 4]"
 61,"['De', 'ouders', 'krijgen', 'ook', 'het', 'bezoek', 'van', 'de', 'Portugese', 'en', 'Franse', 'ambassadeur', 'en', 'een', 'vertegenwoordiger', 'van', 'de', 'Belgische', 'overheid', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 6, 0, 0]"
 62,"['Colas', ':', '""', 'Een', 'kind', 'van', 'die', 'leeftijd', 'beseft', 'nog', 'niet', 'echt', 'wat', 'hem', 'overkomt', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 63,"['Cathy', 'Galle']","[2, 4]"
 64,"['De', 'Morgen']","[5, 1]"
 65,"['Wasserbillig', 'is', 'namelijk', 'een', 'smeltkroes', 'waar', 'Portugese', ',', 'Italiaanse', ',', 'Poolse', ',', 'Duitse', 'en', 'Franse', 'immigranten', '--', 'ooit', 'naar', 'hier', 'gekomen', 'om', 'in', 'de', 'staal-', 'en', 'bandenindustrie', 'te', 'werken', '--', 'vreedzaam', 'naast', 'elkaar', 'wonen', '.']","[3, 0, 0, 0, 0, 0, 6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 66,"['De', 'bewoners', 'van', 'Wasserbillig', ',', 'een', 'klein', 'idyllisch', 'Luxemburgs', 'dorpje', ',', 'geplakt', 'tegen', 'de', 'Duitse', 'grens', ',', 'reageerden', 'geschokt', '.']","[0, 0, 0, 3, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0]"
 67,"['Het', 'gemeentelijke', 'kinderdagverblijf', 'in', 'de', 'Rue', 'du', 'Bocksberg', 'is', 'volledig', 'omsingeld', 'door', 'speciale', 'interventietroepen', 'van', 'de', 'Luxemburgse', ',', 'Duitse', 'en', 'Franse', 'politie', '.']","[0, 0, 0, 0, 0, 3, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 6, 0, 6, 0, 0]"
 68,['Wasserbillig'],[3]
 69,"['De', 'route', 'du', 'Luxembourg', ',', 'de', 'straat', 'voor', 'het', 'gemeentehuis', ',', 'was', 'gisteren', 'tot', 'boulevard', 'herschapen', ',', 'waarlangs', 'honderden', 'ramptoeristen', 'flaneerden', 'die', 'er', 'straalwagens', '(', 'meer', 'dan', 'twintig', ')', 'en', 'perslui', '(', 'meer', 'dan', 'honderd', ')', 'keken', 'in', 'plaats', 'van', 'etalages', '.']","[0, 3, 8, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 70,"['Algemeen', '(', '1', '&', '3', ')']","[6, 0, 0, 0, 0, 0]"
 71,"['Ramotti', 'is', 'één', 'van', 'de', 'weinige', 'ouders', 'die', 'toch', 'iets', 'kwijt', 'wil', '.']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 72,"['De', 'schaarse', 'keren', 'dat', 'de', 'Belgische', 'vorsten', 'eigengereid', 'optraden', ',', 'gebeurde', 'dat', 'wanneer', 'ze', 'hun', 'eigen', 'positie', 'in', 'gevaar', 'zagen', ':', 'tijdens', 'de', 'koningskwestie', ',', 'de', 'onafhankelijkheid', 'van', 'Kongo', 'of', 'de', 'staatshervorming', '.']","[0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0]"
 73,"['Niet', 'in', 'België', 'en', 'niet', 'in', 'Laken', '.']","[0, 0, 3, 0, 0, 0, 3, 0]"
 74,"['Sommigen', 'wijzen', 'op', 'de', 'stijgende', 'invloed', 'van', 'de', '(', 'Franstalige', ')', 'liberalen', 'aan', 'het', 'hof', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0]"
 75,"['Karl', 'van', 'den', 'Broeck']","[2, 4, 4, 4]"
 76,"['In', 'België', 'was', 'dat', 'dan', 'nog', 'vaak', 'één', 'strekking', 'binnen', 'de', 'meerderheid', ':', 'de', 'christen-democratische', '.']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 77,['Opinie'],[6]
 78,"['De', 'crypto-maçonnieke', 'opleiding', 'van', 'prins', 'Laurent', 'zou', 'daar', 'een', 'frappant', 'voorbeeld', 'van', 'zijn', '.']","[0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
 79,"['De', 'Morgen']","[5, 1]"
 80,"['België', 'vroeg', 'natuurlijk', 'om', 'problemen', 'toen', 'het', 'in', '1830', 'koos', 'voor', 'een', ""'"", 'constitutionele', 'monarchie', ""'"", '.']","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 81,"['Dat', 'is', 'in', 'Groot-Brittannië', 'zo', ',', 'dat', 'is', 'in', 'Nederland', 'zo', '(', 'dat', 'moest', 'koningin', 'Beatrix', 'ondervinden', ')', 'en', 'dat', 'is', 'uiteraard', 'ook', 'in', 'België', 'het', 'geval', '.']","[0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
 82,"['De', 'CVP', 'reageert', 'kregelig', 'en', 'beschuldigt', 'de', 'koning', 'van', 'partijdigheid', '.']","[0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 83,"['Het', 'feit', 'dat', 'koning', 'Albert', 'en', 'zijn', 'kinderen', 'zich', 'alsmaar', ""'"", 'paars-groener', ""'"", 'gaan', 'opstellen', ',', 'herinnert', 'de', 'CVP', 'er', 'koudweg', 'aan', 'dat', 'ze', 'niet', 'langer', 'de', 'lakens', 'uitdeelt', '.']","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 84,"['En', 'koning', 'Albert', '?']","[0, 0, 2, 0]"
 85,"['De', 'kamer', 'en', 'de', 'gang', 'waar', 'de', 'feiten', 'zich', 'afspeelden', ',', 'werden', 'verzegeld', 'in', 'afwachting', 'van', 'het', 'eventueel', 'afstappen', 'van', 'het', 'parket', 'van', 'Charleroi', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]"
 86,"['Het', 'Leven']","[6, 7]"
 87,"['Vier', 'teams', 'van', 'de', 'rijkswacht', 'van', 'het', 'district', 'Charleroi', 'belegerden', 'kort', 'na', 'de', 'feiten', 'het', 'rusthuis', 'omdat', 'ervan', 'uitgegaan', 'werd', 'dat', 'de', 'rusthuisdirecteur', 'dood', 'was', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 88,"['Een', '94-jarige', 'bewoner', 'van', 'een', 'bejaardentehuis', 'in', 'Aiseau-Presles', 'heeft', 'gisterochtend', 'van', 'op', 'korte', 'afstand', 'een', 'kogel', 'door', 'het', 'hoofd', 'van', 'de', 'uitbater', 'van', 'het', 'tehuis', 'gejaagd', '.']","[0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 89,"['(', 'KDM', ')']","[0, 2, 0]"
 90,"['Het', 'slachtoffer', 'was', 'getroffen', 'door', 'de', 'kogel', 'in', 'het', 'hoofd', 'en', 'werd', 'overgebracht', 'naar', 'het', 'Fabiolaziekenhuis', 'van', 'Auvelais', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 0]"
 91,"['Kristof', 'Demasure']","[2, 4]"
 92,"['De', 'Morgen']","[5, 1]"
 93,"['-DOCSTART-', 'Dat', 'Baan', 'overgenomen', 'zou', 'worden', ',', 'stond', 'bijna', 'vast', '.']","[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0]"
 94,"['Daardoor', 'is', 'Invensys', 'al', 'zeker', 'van', '10,8', 'procent', 'van', 'de', 'aandelen', '.']","[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
 95,"['Er', 'moeten', 'duizend', 'mensen', 'weg', 'bij', 'Baan', '.']","[0, 0, 0, 0, 0, 0, 5, 0]"
 96,"['""', 'We', 'denken', 'dat', 'Invensys', 'het', 'juiste', 'bedrijf', 'is', 'om', 'Baan', 'te', 'herstructureren', '.']","[0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5, 0, 0, 0]"
